#Parameters = {Curva=0; DistanciaX=50; DistanciaY=50; Hcooper=0.035; Hfr=1.565; La=14; Lamda=61.2322; Lf=15; Lfdiv=15.30805; Lp=27; Placa=100; Wa=2; Wf=3; Wfdiv=1.6548; Wp=26.11}
#"Frequency / MHz"	"VSWR2 [Magnitude]"
#-------------------------------------
2386.0000000000	45.664102345258
2388.0000000000	46.421541860578
2390.0000000000	47.171895996765
2392.0000000000	47.914262852718
2394.0000000000	48.647665873395
2396.0000000000	49.371042257744
2398.0000000000	50.083229374561
2400.0000000000	50.782948793303
2402.0000000000	51.468787447187
2404.0000000000	52.139175333199
2406.0000000000	52.792359011671
2408.0000000000	53.426369988339
2410.0000000000	54.038986833528
2412.0000000000	54.627689601963
2414.0000000000	55.189604744327
2416.0000000000	55.721438223810
2418.0000000000	56.219393936694
2420.0000000000	56.679073745172
2422.0000000000	57.095354413638
2424.0000000000	57.462235434902
2426.0000000000	57.772650070247
2428.0000000000	58.018229834362
2430.0000000000	58.189010079725
2432.0000000000	58.273061287767
2434.0000000000	58.256027343299
2436.0000000000	58.120549040040
2438.0000000000	57.845549798740
2440.0000000000	57.405364383377
2442.0000000000	56.768707429509
2444.0000000000	55.897521889892
2446.0000000000	54.745849016233
2448.0000000000	53.259083295776
2450.0000000000	51.374442196343
2452.0000000000	49.024407364415
2454.0000000000	46.146667466485
2456.0000000000	42.707125179893
2458.0000000000	38.746717699225
2460.0000000000	34.465101183071
2462.0000000000	30.342910043986
2464.0000000000	27.253118068089
2466.0000000000	26.405129171991
2468.0000000000	28.910398638616
2470.0000000000	35.050017624492
2472.0000000000	43.891702295589
2474.0000000000	53.781326086062
2476.0000000000	63.239011422864
2478.0000000000	71.445879457134
2480.0000000000	78.184648206163
2482.0000000000	83.575065079900
2484.0000000000	87.857570257942
2486.0000000000	91.278847458177
2488.0000000000	94.048439876407
2490.0000000000	96.330386720793
2492.0000000000	98.248244114399
2494.0000000000	99.893465642285
2496.0000000000	101.33333031245
2498.0000000000	102.61734178811
2500.0000000000	103.78205905875
2502.0000000000	104.85463132760
2504.0000000000	105.85534933458
2506.0000000000	106.79947863751
2508.0000000000	107.69857808455
2510.0000000000	108.56145180513
2512.0000000000	109.39484055389
2514.0000000000	110.20392717512
2516.0000000000	110.99270886169
2518.0000000000	111.76427336719
2520.0000000000	112.52100548752
